Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Aaron Cresswell,eng ENG,DF,West Ham,34-310,1989,3,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0.1,1,3,1,0,0,0,0,0,0.11,0.12,0.22,0.11,0.22,Matches
Aaron Ramsdale,eng ENG,GK,Southampton,26-159,1998,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Aaron Wan-Bissaka,eng ENG,DF,West Ham,26-329,1997,7,6,569,6.3,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,20,26,24,0,0,0,0,0,0.01,0.05,0.07,0.01,0.07,Matches
Abdoulaye Doucouré,ml MLI,MF,Everton,31-293,1993,7,6,486,5.4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,6,18,11,0,0,0,0,0,0.04,0.04,0.09,0.04,0.09,Matches
Abdul Fatawu Issahaku,gh GHA,"FW,DF",Leicester City,20-226,2004,8,3,309,3.4,0,2,2,0,0,0,0,0,0.3,0.3,1.4,1.7,17,10,26,0,0.58,0.58,0,0.58,0.09,0.39,0.49,0.09,0.49,Matches
Adam Armstrong,eng ENG,FW,Southampton,27-253,1997,5,3,231,2.6,0,0,0,0,0,0,1,0,0.8,0.8,0.1,0.9,6,5,17,0,0,0,0,0,0.3,0.04,0.35,0.3,0.35,Matches
Adam Lallana,eng ENG,MF,Southampton,36-163,1988,4,1,116,1.3,0,2,2,0,0,0,2,0,0.2,0.2,0.8,1,1,9,3,0,1.55,1.55,0,1.55,0.13,0.62,0.75,0.13,0.75,Matches
Adam Smith,eng ENG,DF,Bournemouth,33-174,1991,8,4,373,4.1,0,0,0,0,0,0,1,0,0,0,0.1,0.1,2,6,7,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
Adam Webster,eng ENG,DF,Brighton,29-290,1995,3,2,79,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,Matches
Adam Wharton,eng ENG,MF,Crystal Palace,20-140,2004,7,7,535,5.9,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0.8,5,52,6,0,0,0,0,0,0.03,0.1,0.13,0.03,0.13,Matches
Adama Traoré,es ESP,"FW,MF",Fulham,28-269,1996,8,8,623,6.9,1,2,3,1,0,0,2,0,2.5,2.5,2,4.4,37,23,45,0.14,0.29,0.43,0.14,0.43,0.35,0.28,0.64,0.35,0.64,Matches
Alejandro Garnacho,ar ARG,FW,Manchester Utd,20-111,2004,8,5,501,5.6,2,1,3,2,0,0,1,0,2.7,2.7,0.5,3.2,32,9,67,0.36,0.18,0.54,0.36,0.54,0.49,0.09,0.58,0.49,0.58,Matches
Alex Iwobi,ng NGA,"FW,DF",Fulham,28-170,1996,8,8,677,7.5,1,1,2,1,0,0,0,0,0.8,0.8,1.8,2.6,26,48,59,0.13,0.13,0.27,0.13,0.27,0.1,0.24,0.34,0.1,0.34,Matches
Alex McCarthy,eng ENG,GK,Southampton,34-322,1989,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alex Scott,eng ENG,MF,Bournemouth,21-060,2003,8,2,263,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,5,32,14,0,0,0,0,0,0.05,0.07,0.12,0.05,0.12,Matches
Alexander Isak,se SWE,FW,Newcastle Utd,25-029,1999,6,6,495,5.5,1,1,2,1,0,0,0,0,2.2,2.2,0.8,2.9,13,7,31,0.18,0.18,0.36,0.18,0.36,0.39,0.14,0.53,0.39,0.53,Matches
Alexis Mac Allister,ar ARG,MF,Liverpool,25-301,1998,7,7,554,6.2,0,0,0,0,0,0,1,0,0.2,0.2,1,1.2,9,38,16,0,0,0,0,0,0.03,0.16,0.19,0.03,0.19,Matches
Ali Al Hamadi,iq IRQ,FW,Ipswich Town,22-233,2002,3,0,35,0.4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.12,0.12,0,0.12,Matches
Alisson,br BRA,GK,Liverpool,32-018,1992,6,6,528,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alphonse Areola,fr FRA,GK,West Ham,31-236,1993,8,8,675,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Amad Diallo,ci CIV,FW,Manchester Utd,22-101,2002,6,4,342,3.8,1,1,2,1,0,0,1,0,0.4,0.4,1.2,1.6,26,18,58,0.26,0.26,0.53,0.26,0.53,0.11,0.3,0.42,0.11,0.42,Matches
Amadou Onana,be BEL,MF,Aston Villa,23-065,2001,7,7,495,5.5,2,0,2,2,0,0,2,0,1.1,1.1,0.1,1.2,7,17,4,0.36,0,0.36,0.36,0.36,0.2,0.02,0.22,0.2,0.22,Matches
Andreas Pereira,br BRA,MF,Fulham,28-293,1996,8,8,610,6.8,1,0,1,1,0,1,2,0,1.9,1.1,1.5,2.6,4,33,23,0.15,0,0.15,0.15,0.15,0.28,0.22,0.5,0.16,0.38,Matches
Andrew Robertson,sct SCO,DF,Liverpool,30-223,1994,7,6,514,5.7,0,0,0,0,0,0,1,0,0.4,0.4,1.5,1.9,14,30,13,0,0,0,0,0,0.08,0.26,0.33,0.08,0.33,Matches
André,br BRA,MF,Wolves,23-096,2001,5,4,317,3.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,0,10,0,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06,Matches
André Onana,cm CMR,GK,Manchester Utd,28-201,1996,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches
Andy Irving,sct SCO,MF,West Ham,24-160,2000,2,0,19,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.16,0,0.16,0.16,0.16,Matches
Anthony Elanga,se SWE,FW,Nott'ham Forest,22-176,2002,7,4,361,4,0,1,1,0,0,0,1,0,0.6,0.6,0.6,1.1,11,8,22,0,0.25,0.25,0,0.25,0.14,0.14,0.28,0.14,0.28,Matches
Anthony Gordon,eng ENG,FW,Newcastle Utd,23-239,2001,8,8,682,7.6,2,0,2,1,1,2,0,0,3.3,1.8,1.5,3.2,29,10,63,0.26,0,0.26,0.13,0.13,0.44,0.2,0.64,0.23,0.43,Matches
Antoine Semenyo,gh GHA,FW,Bournemouth,24-287,2000,8,8,697,7.7,3,1,4,3,0,0,3,0,2.9,2.9,1.9,4.8,25,16,61,0.39,0.13,0.52,0.39,0.52,0.37,0.24,0.61,0.37,0.61,Matches
Antonee Robinson,us USA,DF,Fulham,27-073,1997,8,8,720,8,0,2,2,0,0,0,1,0,0.1,0.1,0.6,0.7,19,19,54,0,0.25,0.25,0,0.25,0.02,0.07,0.09,0.02,0.09,Matches
Antony,br BRA,FW,Manchester Utd,24-239,2000,2,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,0,1,0,0,0,0,0,0.47,0.22,0.7,0.47,0.7,Matches
Archie Gray,eng ENG,"MF,DF",Tottenham,18-222,2006,4,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,Matches
Arijanet Muric,xk KVX,GK,Ipswich Town,25-348,1998,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ashley Young,eng ENG,DF,Everton,39-103,1985,6,6,515,5.7,0,2,2,0,0,0,1,1,0,0,0.4,0.4,5,37,5,0,0.35,0.35,0,0.35,0.01,0.06,0.07,0.01,0.07,Matches
Axel Disasi,fr FRA,DF,Chelsea,26-223,1998,2,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,Matches
Axel Tuanzebe,cd COD,DF,Ipswich Town,26-341,1997,6,6,512,5.7,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,3,16,2,0,0,0,0,0,0.03,0.04,0.07,0.03,0.07,Matches
Bart Verbruggen,nl NED,GK,Brighton,22-063,2002,6,6,540,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ben Brereton,cl CHI,FW,Southampton,25-185,1999,6,4,389,4.3,0,0,0,0,0,0,1,0,0.8,0.8,0.1,0.9,11,8,36,0,0,0,0,0,0.18,0.02,0.2,0.18,0.2,Matches
Ben Johnson,eng ENG,DF,Ipswich Town,24-270,2000,4,2,223,2.5,0,1,1,0,0,0,0,0,0,0,0.3,0.3,4,9,4,0,0.4,0.4,0,0.4,0,0.12,0.12,0,0.12,Matches
Ben Mee,eng ENG,DF,Brentford,35-029,1989,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ben White,eng ENG,DF,Arsenal,27-012,1997,6,5,495,5.5,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,2,19,10,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
Bernardo Silva,pt POR,"MF,FW",Manchester City,30-071,1994,7,6,547,6.1,0,3,3,0,0,0,2,0,0.9,0.9,2.3,3.2,26,29,55,0,0.49,0.49,0,0.49,0.15,0.37,0.52,0.15,0.52,Matches
Bernd Leno,de GER,GK,Fulham,32-230,1992,8,8,720,8,0,1,1,0,0,0,2,0,0,0,0.1,0.1,0,0,0,0,0.12,0.12,0,0.12,0,0.01,0.01,0,0.01,Matches
Beto,gw GNB,FW,Everton,26-263,1998,4,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Matches
Bilal El Khannouss,ma MAR,MF,Leicester City,20-163,2004,4,2,147,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,4,11,9,0,0,0,0,0,0.05,0.31,0.36,0.05,0.36,Matches
Billy Gilmour,sct SCO,MF,Brighton,23-131,2001,2,1,98,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,11,2,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
