Squad,Gls,Ast,xG,npxG,xAG,PrgC,PrgP,PrgR
Arsenal,0.608695652,0.47826087,0.6,0.6,0.42173913,6.782608696,13.86956522,13.60869565
Aston Villa,0.7,0.65,0.585,0.585,0.47,7.65,13.95,13.85
Bournemouth,0.454545455,0.363636364,0.627272727,0.554545455,0.463636364,6.636363636,14.90909091,14.72727273
Brentford,0.7,0.4,0.625,0.585,0.37,6.05,12.35,12.2
Brighton,0.56,0.36,0.492,0.492,0.312,7,15.16,15.08
Chelsea,0.761904762,0.619047619,0.704761905,0.666666667,0.614285714,7.571428571,12.33333333,12.28571429
Crystal Palace,0.181818182,0.090909091,0.363636364,0.327272727,0.277272727,4.454545455,12.27272727,12.13636364
Everton,0.409090909,0.272727273,0.395454545,0.395454545,0.295454545,4.545454545,10,9.909090909
Fulham,0.55,0.5,0.64,0.56,0.5,8.2,15,14.9
Ipswich Town,0.230769231,0.153846154,0.242307692,0.242307692,0.223076923,4,8.730769231,8.615384615
Leicester City,0.571428571,0.476190476,0.380952381,0.342857143,0.323809524,5.047619048,10.57142857,10.47619048
Liverpool,0.565217391,0.47826087,0.608695652,0.573913043,0.486956522,7.260869565,14.17391304,14
Manchester City,0.85,0.55,0.7,0.66,0.575,12.65,18.8,18.65
Manchester Utd,0.318181818,0.318181818,0.568181818,0.568181818,0.5,5.954545455,14.68181818,14.45454545
Newcastle Utd,0.421052632,0.368421053,0.652631579,0.573684211,0.510526316,7.684210526,16.31578947,16.31578947
Nott'ham Forest,0.318181818,0.181818182,0.386363636,0.35,0.254545455,5.636363636,8.363636364,8.272727273
Southampton,0.222222222,0.148148148,0.385185185,0.355555556,0.296296296,5.925925926,10.33333333,10.22222222
Tottenham,0.761904762,0.619047619,0.79047619,0.79047619,0.561904762,10.47619048,21.28571429,21.14285714
West Ham,0.434782609,0.173913043,0.513043478,0.47826087,0.3,6.52173913,12.08695652,12.08695652
Wolves,0.391304348,0.304347826,0.282608696,0.282608696,0.213043478,4.434782609,8.434782609,8.347826087
